psm_px,psm_py,psm_pz,psm_ow,psm_ox,psm_oy,psm_oz,dk2_px,dk2_py,dk2_pz,dk2_ow,dk2_ox,dk2_oy,dk2_oz
2.220474,3.588853,107.286491,1.000000,0.000000,0.000000,0.000000,-4.180164,-19.410343,24.238930,-0.997398,0.066069,-0.017590,-0.022867
2.201786,3.594939,107.173019,1.000000,0.000000,0.000000,0.000000,-4.183883,-19.406384,24.248604,-0.997401,0.065994,-0.017554,-0.022980
2.203118,3.606231,107.131676,1.000000,0.000000,0.000000,0.000000,-4.187438,-19.401087,24.256914,-0.997401,0.065965,-0.017495,-0.023096
2.181180,3.586365,106.723816,1.000000,0.000000,0.000000,0.000000,-4.189698,-19.396137,24.265930,-0.997411,0.065795,-0.017428,-0.023197
2.192965,3.592925,106.677567,1.000000,0.000000,0.000000,0.000000,-4.190421,-19.393938,24.272409,-0.997419,0.065661,-0.017351,-0.023293
2.193249,3.601462,106.641464,1.000000,0.000000,0.000000,0.000000,-4.189734,-19.392797,24.275599,-0.997422,0.065634,-0.017285,-0.023309
2.186606,3.597699,106.509743,1.000000,0.000000,0.000000,0.000000,-4.187243,-19.394806,24.273970,-0.997420,0.065714,-0.017234,-0.023207
2.190245,3.608184,106.628738,1.000000,0.000000,0.000000,0.000000,-4.182756,-19.399937,24.270981,-0.997415,0.065825,-0.017274,-0.023068
2.217056,3.618668,106.775635,1.000000,0.000000,0.000000,0.000000,-4.176239,-19.405975,24.268017,-0.997403,0.066000,-0.017404,-0.022974
2.204682,3.606793,106.620636,1.000000,0.000000,0.000000,0.000000,-4.168472,-19.413046,24.260937,-0.997385,0.066239,-0.017574,-0.022940
2.214566,3.649462,107.525375,1.000000,0.000000,0.000000,0.000000,-4.161427,-19.420704,24.252302,-0.997368,0.066463,-0.017685,-0.022979
2.206743,3.650239,107.829773,1.000000,0.000000,0.000000,0.000000,-4.149698,-19.427116,24.239523,-0.997345,0.066729,-0.017706,-0.023178
2.165668,3.572644,106.657867,1.000000,0.000000,0.000000,0.000000,-4.127944,-19.429661,24.220312,-0.997296,0.067346,-0.017655,-0.023523
2.182891,3.574948,106.888397,1.000000,0.000000,0.000000,0.000000,-4.105983,-19.429394,24.196793,-0.997218,0.068400,-0.017589,-0.023839
2.188417,3.527298,106.135986,1.000000,0.000000,0.000000,0.000000,-4.086536,-19.430334,24.165068,-0.997150,0.069357,-0.017458,-0.024032
2.204621,3.527053,106.466064,1.000000,0.000000,0.000000,0.000000,-4.069533,-19.435196,24.122755,-0.997113,0.069924,-0.017206,-0.024101
2.219735,3.513642,106.628738,1.000000,0.000000,0.000000,0.000000,-4.056041,-19.437599,24.064240,-0.997112,0.070011,-0.016831,-0.024151
2.234180,3.486404,106.595245,1.000000,0.000000,0.000000,0.000000,-4.038407,-19.430807,23.988708,-0.997090,0.070490,-0.016029,-0.024197
2.333010,3.485702,107.893753,1.000000,0.000000,0.000000,0.000000,-4.012563,-19.407032,23.881657,-0.997014,0.071847,-0.014420,-0.024376
2.359782,3.457529,107.997108,1.000000,0.000000,0.000000,0.000000,-3.983792,-19.376480,23.768517,-0.996909,0.073594,-0.012560,-0.024461
2.453059,3.446246,108.599220,1.000000,0.000000,0.000000,0.000000,-3.953915,-19.335844,23.639345,-0.996795,0.075428,-0.010680,-0.024428
2.473708,3.379123,108.274765,1.000000,0.000000,0.000000,0.000000,-3.913389,-19.283867,23.474541,-0.996754,0.076353,-0.008931,-0.023933
2.538634,3.330480,108.212189,1.000000,0.000000,0.000000,0.000000,-3.865580,-19.232910,23.312387,-0.996830,0.075765,-0.007834,-0.023007
2.550367,3.200966,107.100204,1.000000,0.000000,0.000000,0.000000,-3.799618,-19.169119,23.130426,-0.996942,0.074670,-0.007202,-0.021880
2.598682,3.153005,107.084671,1.000000,0.000000,0.000000,0.000000,-3.700369,-19.079758,22.905819,-0.997041,0.073771,-0.006829,-0.020505
2.716454,3.089674,107.122650,1.000000,0.000000,0.000000,0.000000,-3.592747,-18.978428,22.685349,-0.997049,0.074003,-0.006593,-0.019344
